Recency,Frequency,Monetary,Model K = 2,Model K = 3,Model K = 4,Model K = 5
721,1,112147,1,2,2,4
672,1,123192,1,1,1,1
785,1,114475,0,0,0,0
662,1,112147,1,1,1,1
731,1,120643,1,2,2,4
765,1,112617,0,2,2,2
672,1,112147,1,1,1,1
772,2,245876,0,2,2,2
697,1,51684,1,1,3,4
688,1,112147,1,1,3,3
682,1,112147,1,1,3,3
680,1,156326,1,1,3,3
780,1,114475,0,0,0,0
704,1,119935,1,1,3,4
674,1,112147,1,1,1,1
769,1,111617,0,2,2,2
685,1,112147,1,1,3,3
762,1,112995,0,2,2,2
699,1,109598,1,1,3,4
682,1,22090,1,1,3,3
789,1,124384,0,0,0,0
672,1,112147,1,1,1,1
734,1,109598,0,2,2,4
663,1,112147,1,1,1,1
685,1,123192,1,1,3,3
677,1,112147,1,1,3,3
694,1,31010,1,1,3,3
798,1,121720,0,0,0,0
791,1,115200,0,0,0,0
716,1,219197,1,2,2,4
680,1,369576,1,1,3,3
719,1,112147,1,2,2,4
673,1,112147,1,1,1,1
762,1,112995,0,2,2,2
698,1,109598,1,1,3,4
789,1,29728,0,0,0,0
663,1,112147,1,1,1,1
681,1,112147,1,1,3,3
672,1,112147,1,1,1,1
669,1,112147,1,1,1,1
652,1,112147,1,1,1,1
650,1,112147,1,1,1,1
688,1,112147,1,1,3,3
780,1,116355,0,0,0,0
754,1,207855,0,2,2,2
673,1,91147,1,1,1,1
780,1,114475,0,0,0,0
703,1,109598,1,1,3,4
671,1,268474,1,1,3,3
703,1,109598,1,1,3,4
743,1,112995,0,2,2,2
734,1,230242,0,2,2,2
752,1,186093,0,2,2,2
722,1,112147,1,2,2,4
761,1,112995,0,2,2,2
791,1,125200,0,0,0,0
670,1,112147,1,1,1,1
662,2,235339,1,1,1,1
769,1,114097,0,2,2,2
662,1,112147,1,1,1,1
760,1,112995,0,2,2,2
800,1,81360,0,0,0,0
780,1,114475,0,0,0,0
725,1,114696,1,2,2,4
687,1,112147,1,1,3,3
762,1,225990,0,2,2,2
657,1,55224,1,1,1,1
760,1,112995,0,2,2,2
654,1,112147,1,1,1,1
688,1,112147,1,1,3,3
762,1,112995,0,2,2,2
705,1,109598,1,1,3,4
718,1,547992,1,2,2,4
762,1,112995,0,2,2,2
761,1,112995,0,2,2,2
756,1,112995,0,2,2,2
777,1,114417,0,0,0,0
670,1,224294,1,1,3,3
678,1,112147,1,1,3,3
689,1,112147,1,1,3,3
679,1,112147,1,1,3,3
663,1,112147,1,1,1,1
687,1,112147,1,1,3,3
750,1,218736,0,2,2,2
684,1,112147,1,1,3,3
761,1,112995,0,2,2,2
720,1,112147,1,2,2,4
695,1,119935,1,1,3,3
680,1,112147,1,1,3,3
761,1,20367,0,2,2,2
688,1,112147,1,1,3,3
757,1,112995,0,2,2,2
663,1,112147,1,1,1,1
672,1,112147,1,1,1,1
672,1,112147,1,1,1,1
707,1,109598,1,1,3,4
668,1,112147,1,1,1,1
785,1,114475,0,0,0,0
779,1,114475,0,0,0,0
765,1,156267,0,2,2,2
689,1,112147,1,1,3,3
719,1,224294,1,2,2,4
762,1,10184,0,2,2,2
759,1,112995,0,2,2,2
805,1,130000,0,0,0,0
759,1,112995,0,2,2,2
798,1,225000,0,0,0,0
783,1,116115,0,0,0,0
757,1,112995,0,2,2,2
661,1,112147,1,1,1,1
780,1,19819,0,0,0,0
700,2,224294,1,1,3,3
729,1,219197,1,2,2,4
709,1,109598,1,2,3,4
663,1,123192,1,1,1,1
656,1,112147,1,1,1,1
690,1,112147,1,1,3,3
674,1,112147,1,1,1,1
784,1,99093,0,0,0,0
717,1,109598,1,2,2,4
761,1,112995,0,2,2,2
672,1,112147,1,1,1,1
766,1,112617,0,2,2,2
688,1,224294,1,1,3,3
694,1,109598,1,1,3,3
736,1,118482,0,2,2,2
653,1,112147,1,1,1,1
730,1,109598,1,2,2,4
768,1,114017,0,2,2,2
694,1,109598,1,1,3,3
681,1,112147,1,1,3,3
694,1,109598,1,1,3,3
668,1,55224,1,1,1,1
785,1,230589,0,0,0,0
785,1,114475,0,0,0,0
684,1,112147,1,1,3,3
760,1,112995,0,2,2,2
667,1,112147,1,1,1,1
681,1,123192,1,1,3,3
676,1,112147,1,1,3,3
726,1,109598,1,2,2,4
673,1,103147,1,1,1,1
661,1,112147,1,1,1,1
762,1,112995,0,2,2,2
669,1,112147,1,1,1,1
694,1,109598,1,1,3,3
788,1,114475,0,0,0,0
734,1,109598,0,2,2,4
668,1,224294,1,1,1,1
660,1,112147,1,1,1,1
762,1,112995,0,2,2,2
662,1,112147,1,1,1,1
661,3,140296,1,1,1,1
762,1,112995,0,2,2,2
716,1,109598,1,2,2,4
689,1,112147,1,1,3,3
696,1,119935,1,1,3,3
754,1,112995,0,2,2,2
694,1,109598,1,1,3,3
696,1,109598,1,1,3,3
782,1,114475,0,0,0,0
727,1,109598,1,2,2,4
670,1,112147,1,1,1,1
756,1,112995,0,2,2,2
670,1,112147,1,1,1,1
791,1,125200,0,0,0,0
759,1,187860,0,2,2,2
791,1,115200,0,0,0,0
699,1,109598,1,1,3,4
690,2,134237,1,1,3,3
704,1,109598,1,1,3,4
651,1,112147,1,1,1,1
784,1,116275,0,0,0,0
706,1,119935,1,1,3,4
677,1,112147,1,1,3,3
793,1,115200,0,0,0,0
663,1,112147,1,1,1,1
791,1,116440,0,0,0,0
762,1,112995,0,2,2,2
662,1,112147,1,1,1,1
760,1,112995,0,2,2,2
789,1,71609,0,0,0,0
765,1,112617,0,2,2,2
751,1,393948,0,2,2,2
698,1,109598,1,1,3,4
660,1,112147,1,1,1,1
672,1,112147,1,1,1,1
763,1,225234,0,2,2,2
774,1,68094,0,0,0,0
789,1,125544,0,0,0,0
761,1,225990,0,2,2,2
674,1,224294,1,1,3,3
785,1,115875,0,0,0,0
688,1,112147,1,1,3,3
768,1,112617,0,2,2,2
661,1,112147,1,1,1,1
792,1,116560,0,0,0,0
791,1,115200,0,0,0,0
660,1,123192,1,1,1,1
663,1,112147,1,1,1,1
774,1,122052,0,0,0,0
664,1,134237,1,1,1,1
688,1,112147,1,1,3,3
770,1,111744,0,2,2,2
786,1,39637,0,0,0,0
773,1,111744,0,0,0,0
760,1,112995,0,2,2,2
666,1,112147,1,1,1,1
702,1,109598,1,1,3,4
766,1,142165,0,2,2,2
772,1,113104,0,0,0,0
678,1,112147,1,1,3,3
681,1,112147,1,1,3,3
681,1,224294,1,1,3,3
694,1,119935,1,1,3,3
762,1,112995,0,2,2,2
667,1,112147,1,1,1,1
772,1,111744,0,0,0,0
732,1,109598,0,2,2,4
789,1,29728,0,0,0,0
726,1,109598,1,2,2,4
762,1,112995,0,2,2,2
663,1,112147,1,1,1,1
724,1,114696,1,2,2,4
670,1,112147,1,1,1,1
783,1,193729,0,0,0,0
687,1,224294,1,1,3,3
728,1,377789,1,2,2,4
787,1,114475,0,0,0,0
760,1,112995,0,2,2,2
680,2,254880,1,1,3,3
718,1,109598,1,2,2,4
749,1,186093,0,2,2,2
720,1,112147,1,2,2,4
657,1,224294,1,1,1,1
665,1,224294,1,1,1,1
672,1,112147,1,1,1,1
784,1,134293,0,0,0,0
674,1,112147,1,1,1,1
688,1,112147,1,1,3,3
762,1,577530,0,2,2,2
658,1,123192,1,1,1,1
773,1,111744,0,0,0,0
687,1,112147,1,1,3,3
666,1,112147,1,1,1,1
